DT_REFER;CD_CVM;CD_CONTA;DT_FIM_EXERC_PENULTIMO_BP;DT_FIM_EXERC_PENULTIMO;VL_CONTA_PENULTIMO;VL_CONTA
2011-09-30;20257;2.02.01;2010-12-31;;1487279000.0;1484714000.0
2011-09-30;20257;2.02.02;2010-12-31;;7509000.0;27186000.0
2011-09-30;20257;2.02.03;2010-12-31;;264013000.0;356672000.0
2011-09-30;20257;2.02.04;2010-12-31;;459000.0;499000.0
2011-09-30;20257;2.03.01;2010-12-31;;1312536000.0;1312536000.0
2011-09-30;20257;2.03.02;2010-12-31;;594507000.0;594507000.0
2011-09-30;20257;2.03.04;2010-12-31;;601311000.0;64297000.0
2011-09-30;20257;3.01;;2010-09-30;298297000.0;478061000.0
2011-09-30;20257;3.02;;2010-09-30;-15507000.0;-13751000.0
2011-09-30;20257;3.03;;2010-09-30;282790000.0;464310000.0
2011-09-30;20257;3.04;;2010-09-30;-10436000.0;-10777000.0
2011-09-30;20257;3.05;;2010-09-30;272354000.0;453533000.0
2011-09-30;20257;3.06;;2010-09-30;-24925000.0;-38904000.0
2011-09-30;20257;3.07;;2010-09-30;247429000.0;414629000.0
2011-09-30;20257;3.08;;2010-09-30;-75670000.0;-137708000.0
2011-09-30;20257;3.09;;2010-09-30;171759000.0;276921000.0
2011-09-30;20257;3.11;;2010-09-30;171759000.0;276921000.0
2011-09-30;20257;5.01;;2010-09-30;2207369000.0;2508354000.0
2011-09-30;20257;5.03;;2010-09-30;2207369000.0;2508354000.0
2011-09-30;20257;5.07;;2010-09-30;2520664000.0;2393841000.0
2011-09-30;20257;6.01;;2010-09-30;446271000.0;548787000.0
2011-09-30;20257;6.02;;2010-09-30;-14334000.0;59732000.0
2011-09-30;20257;6.03;;2010-09-30;-132256000.0;-549319000.0
2011-09-30;20257;6.05;;2010-09-30;299681000.0;59200000.0
2011-09-30;20257;7.01;;2010-09-30;671653000.0;853295000.0
2011-09-30;20257;7.02;;2010-09-30;-34594000.0;-29553000.0
2011-09-30;20257;7.03;;2010-09-30;637059000.0;823742000.0
2011-09-30;20257;7.04.01;;2010-09-30;-10996000.0;-1117000.0
2011-09-30;20257;7.05;;2010-09-30;626063000.0;822625000.0
2011-09-30;20257;7.06;;2010-09-30;35888000.0;43203000.0
2011-09-30;20257;7.07;;2010-09-30;661951000.0;865828000.0
2011-09-30;20257;7.08;;2010-09-30;661951000.0;865828000.0
2012-03-31;2453;1.01;2011-12-31;;8531649000.0;8462174000.0
2012-03-31;2453;1.01.01;2011-12-31;;2862490000.0;2234744000.0
2012-03-31;2453;1.01.02;2011-12-31;;358987000.0;812968000.0
2012-03-31;2453;1.01.03;2011-12-31;;2998686000.0;3069043000.0
2012-03-31;2453;1.01.04;2011-12-31;;54430000.0;61993000.0
2012-03-31;2453;1.02.01;2011-12-31;;14726385000.0;15657924000.0
2012-03-31;2453;1.02.02;2011-12-31;;176740000.0;196027000.0
2012-03-31;2453;1.02.03;2011-12-31;;8661791000.0;8692198000.0
2012-03-31;2453;1.02.04;2011-12-31;;5261181000.0;4844307000.0
2012-03-31;2453;2.01;2011-12-31;;12169346000.0;9399513000.0
2012-03-31;2453;2.01.02;2011-12-31;;1189848000.0;1088048000.0
